職缺內容,公司名稱,地址,薪資,網址
資訊-大數據工程師(海外地區),臻鼎科技股份有限公司,桃園市大園區,"月薪36,000元以上",//www.104.com.tw/job/78cl0?jobsource=hotjob_chr
軟體FAE工程師 (SaaS),美商連科股份有限公司,台北市內湖區,"月薪60,000~90,000元",//www.104.com.tw/job/76j91?jobsource=hotjob_chr
DevOps工程師,恒遠科技有限公司,台北市大安區,"月薪50,000元以上",//www.104.com.tw/job/7cuvq?jobsource=hotjob_chr
軟體技術主管,恒遠科技有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/7be63?jobsource=hotjob_chr
精算人員(Valuation-3年以上經驗),合作金庫人壽保險股份有限公司(總公司),台北市大安區,待遇面議,//www.104.com.tw/job/6o5ru?jobsource=hotjob_chr
Python 軟體工程師 Python Software Engineer,百睿達有限公司,台北市中正區,"月薪60,000~80,000元",//www.104.com.tw/job/7b5pb?jobsource=jolist_c_relevance
Python Engineer,瞬聯科技股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/7aboj?jobsource=jolist_c_relevance
資深Python工程師,米約科技有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7469r?jobsource=jolist_c_relevance
Python Senior Engineer 線上面試,Big Go_樂方股份有限公司,高雄市鼓山區,"月薪50,000~80,000元",//www.104.com.tw/job/70972?jobsource=jolist_c_relevance
Python 工程師,固特斯股份有限公司,台中市西區,"月薪35,000~55,000元",//www.104.com.tw/job/6ii07?jobsource=jolist_c_relevance
Python工程師,米約科技有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/6zey2?jobsource=jolist_c_relevance
Python Web Developer,StreetVoice _街聲股份有限公司,台北市松山區,"月薪40,000~60,000元",//www.104.com.tw/job/7982k?jobsource=jolist_c_relevance
python後端工程師,金富達科技股份有限公司,台中市北屯區,"月薪28,000~50,000元",//www.104.com.tw/job/7632k?jobsource=jolist_c_relevance
Python工程師,曜盈科技有限公司,台中市南屯區,"月薪40,000~50,000元",//www.104.com.tw/job/7cp28?jobsource=jolist_c_relevance
Python 工程師,台灣宸運雲端有限公司,台中市西屯區,"月薪35,000~65,000元",//www.104.com.tw/job/6guen?jobsource=jolist_c_relevance
Python programmer/data scientist for quantitative trading,中塑油品股份有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/70dmc?jobsource=jolist_c_relevance
Python Engineer 線上面試,Big Go_樂方股份有限公司,高雄市鼓山區,"月薪30,000~60,000元",//www.104.com.tw/job/63ffy?jobsource=jolist_c_relevance
Python 資料科學工程師 - 初階,台灣競遊智慧網路有限公司,台北市中山區,"月薪40,000元以上",//www.104.com.tw/job/73aau?jobsource=jolist_c_relevance
python工程師,金智洋科技股份有限公司,台南市安南區,待遇面議,//www.104.com.tw/job/7d9qj?jobsource=jolist_c_relevance
Software Engineer(Python),臺灣發展軟體科技股份有限公司,台北市內湖區,"月薪65,000~80,000元",//www.104.com.tw/job/76e5f?jobsource=jolist_c_relevance
Python開發工程師,明瑞資通科技股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/7cdlc?jobsource=jolist_c_relevance
Python 資料分析師,干城數碼有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/6vg27?jobsource=jolist_c_relevance
Python工程師,緯德科技股份有限公司 (TechLink Corporation),台北市松山區,待遇面議,//www.104.com.tw/job/695ve?jobsource=jolist_c_relevance
Python軟體工程師,奇力速工業股份有限公司,新北市新莊區,待遇面議,//www.104.com.tw/job/6vayl?jobsource=jolist_c_relevance
Python工程師,烽泰科技有限公司,台北市大同區,待遇面議,//www.104.com.tw/job/7cmyo?jobsource=jolist_c_relevance
Python Engineer (Junior),瞬聯科技股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/744ew?jobsource=jolist_d_relevance
量測軟體開發工程師 (Python or C# or LABVIEW),和瑞科技股份有限公司,新竹縣竹北市,"月薪55,000~80,000元",//www.104.com.tw/job/6yx79?jobsource=jolist_d_relevance
Python工程師 Python Engineer,先鋒網絡服務有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/7cw99?jobsource=jolist_d_relevance
軟體應用工程師 C# or Python (FAE),和瑞科技股份有限公司,新竹縣竹北市,"月薪50,000元以上",//www.104.com.tw/job/5esa0?jobsource=jolist_d_relevance
Python後端工程師(台中總部),誠雲科技股份有限公司,台中市西屯區,"月薪26,000~45,000元",//www.104.com.tw/job/4cifp?jobsource=jolist_d_relevance
【智慧製造發展中心】Python Backend Developer,台灣恩悌悌數據股份有限公司,台北市中正區,待遇面議,//www.104.com.tw/job/73gvl?jobsource=jolist_d_relevance
Python Backend Engineer,禾向數位科技有限公司,台北市內湖區,"月薪40,000~80,000元",//www.104.com.tw/job/71i7c?jobsource=jolist_d_relevance
Python 後端工程師,創奕能源科技股份有限公司,桃園市中壢區,待遇面議,//www.104.com.tw/job/718o5?jobsource=jolist_d_relevance
Python工程師(可遠端工作),博思資訊管理顧問有限公司,台北市內湖區,"月薪60,000~90,000元",//www.104.com.tw/job/78f5b?jobsource=jolist_d_relevance
[台南] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,台南市中西區,待遇面議,//www.104.com.tw/job/74tq5?jobsource=jolist_d_relevance
Python Engineer_CM,技嘉科技股份有限公司,新北市新店區,待遇面議,//www.104.com.tw/job/76ez9?jobsource=jolist_d_relevance
Sr. Back-end Developer 資深後端工程師 (Python),巡辰股份有限公司,台北市中正區,"年薪750,000~1,200,000元",//www.104.com.tw/job/7cgjs?jobsource=jolist_d_relevance
Python 軟體工程師 - 初階,台灣競遊智慧網路有限公司,台北市中山區,"月薪38,000元以上",//www.104.com.tw/job/7395f?jobsource=jolist_d_relevance
(Big Data Team) Python Backend Engineer,伊諾科技有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/6ucvg?jobsource=jolist_d_relevance
Python 後端工程師,蓋特資訊系統股份有限公司,台北市中正區,"月薪50,000元以上",//www.104.com.tw/job/6vdrl?jobsource=jolist_d_relevance
開發運維工程師(Python) DevOps Engineer,倫發科技有限公司,台北市內湖區,待遇面議,//www.104.com.tw/job/70v91?jobsource=jolist_d_relevance
Python 資料科學工程師 - 中階,台灣競遊智慧網路有限公司,台北市中山區,"月薪60,000元以上",//www.104.com.tw/job/7bwo5?jobsource=jolist_d_relevance
Python程式設計師,麟數據科技股份有限公司,台北市大安區,待遇面議,//www.104.com.tw/job/6uj6n?jobsource=jolist_d_relevance
後端工程師(Python),台灣幣蜂數位有限公司,台北市內湖區,"月薪60,000~85,000元",//www.104.com.tw/job/7aecq?jobsource=jolist_d_relevance
[高雄] Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師,Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,高雄市前鎮區,待遇面議,//www.104.com.tw/job/75ae4?jobsource=jolist_d_relevance
Python工程師(PN001),欣創科技有限公司,台北市松山區,待遇面議,//www.104.com.tw/job/6kgjo?jobsource=jolist_d_relevance
Python Software Engineer,hyve solutions_海峰電腦股份有限公司,桃園市龜山區,待遇面議,//www.104.com.tw/job/5tobs?jobsource=jolist_d_relevance
Python Web後端開發工程師,麗寶生醫股份有限公司,台北市中山區,待遇面議,//www.104.com.tw/job/72tjx?jobsource=jolist_d_relevance
【IT】3D軟體開發工程師(C++、Python),裕榮昌科技股份有限公司台中分公司,台中市太平區,待遇面議,//www.104.com.tw/job/72puc?jobsource=jolist_d_relevance
Python Software Engineer,保誠人壽保險股份有限公司_總公司,台北市信義區,待遇面議,//www.104.com.tw/job/7ceaz?jobsource=jolist_d_relevance
Backend Engineer(需熟Python、RESTful API ),好好證券股份有限公司,台北市中正區,待遇面議,//www.104.com.tw/job/5572i?jobsource=jolist_d_relevance
Python 軟體工程師 - 中階,台灣競遊智慧網路有限公司,台北市中山區,"月薪50,000元以上",//www.104.com.tw/job/7bwhn?jobsource=jolist_d_relevance
Python 程式設計師,綠界科技股份有限公司,台北市南港區,"月薪40,000~60,000元",//www.104.com.tw/job/6p5b1?jobsource=jolist_d_relevance
【新竹/台北】Python 開發工程師 #WFH,集仕多股份有限公司,新竹縣竹北市,待遇面議,//www.104.com.tw/job/7d0rw?jobsource=jolist_d_relevance
python程式開發工程師(新竹),友宏整合行銷有限公司,新竹市,"月薪35,000元以上",//www.104.com.tw/job/6kw07?jobsource=jolist_d_relevance
[派遣至外商軟體龍頭] Python Developer - Python工程師 - 105SL,萬寶華企業管理顧問股份有限公司,新北市板橋區,待遇面議,//www.104.com.tw/job/6ryg7?jobsource=jolist_d_relevance
【彈性工時】後端實習生 Backend Engineer(熟Python、RESTful API ),好好證券股份有限公司,台北市中正區,時薪160~400元,//www.104.com.tw/job/7ckz0?jobsource=jolist_d_relevance
python程式開發工程師(台北),友宏整合行銷有限公司,台北市南港區,"月薪35,000元以上",//www.104.com.tw/job/72tds?jobsource=jolist_d_relevance
Python Engineer (工作地點：新店/板橋),印度商威普羅股份有限公司台灣分公司,新北市新店區,待遇面議,//www.104.com.tw/job/6zocc?jobsource=jolist_d_relevance
資安軟體研發工程師(Python),數聯資安股份有限公司,台北市內湖區,"月薪45,000~70,000元",//www.104.com.tw/job/6qcwt?jobsource=jolist_d_relevance
Python全端工程師,宏佳騰動力科技股份有限公司,新北市板橋區,待遇面議,//www.104.com.tw/job/6s9aa?jobsource=jolist_d_relevance
Python Web Developer,禾立國際開發有限公司,新北市新店區,"月薪55,000~70,000元",//www.104.com.tw/job/789kd?jobsource=jolist_d_relevance
Python Web Back-End Engineer/ Full-Stack Engineer 後端/全端開發工程師 (Microsoft),Linker Networks Inc._美商寶蘊凌科網路科技有限公司台灣分公司,台北市大安區,待遇面議,//www.104.com.tw/job/7bmjs?jobsource=jolist_d_relevance
