職缺內容,公司名稱,工作內容,地址,薪資,網址
資深 C#軟體工程師,美克資訊有限公司,,台北市松山區,"月薪55,000~100,000元",//www.104.com.tw/job/6bqp6?jobsource=hotjob_chr
JAVA Software Engineer,Worldline_台灣源訊環球科技股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6z1dy?jobsource=hotjob_chr
Marketing Automation & Data Analyst,無限拓展科技有限公司,,台北市中正區,"年薪1,100,000~1,500,000元",//www.104.com.tw/job/7d38d?jobsource=hotjob_chr
軟體FAE工程師 (SaaS),美商連科股份有限公司,,台北市內湖區,"月薪60,000~90,000元",//www.104.com.tw/job/76j91?jobsource=hotjob_chr
DW Project Manager 資料倉儲系統管理專案經理,美商和諧國際有限公司台灣分公司,,台北市中山區,待遇面議,//www.104.com.tw/job/79opm?jobsource=n_my104_search
資料倉儲&商業智慧工程師(總公司),明台產物保險股份有限公司(三井住友海上集團),,台北市大安區,"月薪30,000~60,000元",//www.104.com.tw/job/4uq2b?jobsource=n_my104_search
資料倉儲開發工程師,聯合通商電子商務股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/74xkx?jobsource=n_my104_search
資料倉儲系統設計師,聯合通商電子商務股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/74xkt?jobsource=n_my104_search
資料倉儲工程師Data warehouse engineer (台北) (資料庫/大數據/巨量資料),歐立威科技股份有限公司,,台北市大同區,待遇面議,//www.104.com.tw/job/6r2nr?jobsource=n_my104_search
資料倉儲工程師【商周集團】,商周集團_商周編輯顧問股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/7c8zj?jobsource=n_my104_search
資料倉儲分析師(台北),威進國際資訊股份有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/6wk3f?jobsource=n_my104_search
"資料倉儲工程師 Data Engineer -數據科技(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,,台北市信義區,"月薪30,000~90,000元",//www.104.com.tw/job/7bmo1?jobsource=n_my104_search
"資料倉儲工程師 Data Engineer -集團徵才-數據科技(數數發中心, DDT)",國泰金控_國泰金融控股股份有限公司,,台北市信義區,"月薪30,000~90,000元",//www.104.com.tw/job/6s9b8?jobsource=n_my104_search
資料倉儲工程師-數據科技,國泰世紀產物保險股份有限公司,,台北市信義區,"月薪32,000元以上",//www.104.com.tw/job/6sm3b?jobsource=n_my104_search
【誠品】資料倉儲工程師,誠品股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/77y90?jobsource=n_my104_search
資訊_資料倉儲工程師,中信金控_台灣人壽保險股份有限公司,,台北市南港區,待遇面議,//www.104.com.tw/job/6fiv5?jobsource=n_my104_search
軟體工程師_ETL_101D,金財通商務科技服務股份有限公司,,台北市松山區,"月薪30,000元以上",//www.104.com.tw/job/718kr?jobsource=n_my104_search
技術經理_ETL 資料分析主管_102H,金財通商務科技服務股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/7bdal?jobsource=n_my104_search
資料ETL分析師,汎神國際有限公司,,台北市大安區,待遇面議,//www.104.com.tw/job/7d7lp?jobsource=n_my104_search
ETL工程師,前進國際股份有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6yz7x?jobsource=n_my104_search
SQL資料庫工程師,緯德科技股份有限公司 (TechLink Corporation),,台北市松山區,待遇面議,//www.104.com.tw/job/5e6v1?jobsource=n_my104_search
資訊部_資料工程師 (Data Engineer),樂天國際商業銀行股份有限公司,,台北市北投區,待遇面議,//www.104.com.tw/job/719na?jobsource=n_my104_search
ETL資料工程師(應用系統服務處-專員),全球人壽保險股份有限公司_總公司,,台北市信義區,待遇面議,//www.104.com.tw/job/76ptp?jobsource=n_my104_search
ETL 資料工程師,昕力資訊股份有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/76ovg?jobsource=n_my104_search
【大安】ETL 工程師,中華系統整合股份有限公司,,台北市大安區,"月薪35,000~45,000元",//www.104.com.tw/job/70m2p?jobsource=n_my104_search
商業智慧(BI)工程師,凌群電腦股份有限公司,,台北市萬華區,"月薪28,000~60,000元",//www.104.com.tw/job/6i060?jobsource=n_my104_search
SQL資料庫工程師(SL001),祐安資訊有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6709q?jobsource=n_my104_search
資料工程師 Data Engineer (Warehouse),雨林新零售股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/76k5v?jobsource=n_my104_search
【高階獵才】數據中心主管_501YS,萬寶華企業管理顧問股份有限公司,,台北市內湖區,"年薪1,000,000~1,200,000元",//www.104.com.tw/job/6y08s?jobsource=n_my104_search
ETL資料工程師,開元食品工業股份有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/7csbe?jobsource=n_my104_search
SQL 資料庫工程師,欣創科技有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6kgjf?jobsource=n_my104_search
【數據】資料科學工程師_ 數據管理,國泰世華商業銀行股份有限公司_人力資源部,,台北市信義區,"月薪30,000~80,000元",//www.104.com.tw/job/6rkkm?jobsource=n_my104_search
資料工程師,臺灣中小企業銀行股份有限公司,,台北市中正區,"月薪33,000~67,000元",//www.104.com.tw/job/6f3dr?jobsource=n_my104_search
資深資料庫管理師(SQL Server),科萊博瑞科技有限公司,,台北市內湖區,待遇面議,//www.104.com.tw/job/6hz27?jobsource=n_my104_search
SQL 工程師,碩誠國際股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/6i40n?jobsource=n_my104_search
"【數據】資料營運工程師 (數數發中心,DDT)",國泰世華商業銀行股份有限公司_人力資源部,,台北市信義區,待遇面議,//www.104.com.tw/job/6v7r3?jobsource=n_my104_search
JAVA/SQL 程式設計師,台灣經濟新報文化事業股份有限公司,,台北市信義區,待遇面議,//www.104.com.tw/job/5xk5y?jobsource=n_my104_search
Microsoft Power BI顧問/DB ETL Developer ,艾力特科技有限公司,,台北市中山區,待遇面議,//www.104.com.tw/job/6j4or?jobsource=n_my104_search
商業智慧及大數據工程師,天應資訊顧問有限公司,,台北市大安區,"月薪34,000~42,000元",//www.104.com.tw/job/38q85?jobsource=n_my104_search
Database Engineer 資料庫工程師/資深工程師/專案管理師,雨林新零售股份有限公司,,台北市松山區,待遇面議,//www.104.com.tw/job/7cqvk?jobsource=n_my104_search
Oracle EBS財務程式設計師 PL/SQL(總公司),明台產物保險股份有限公司(三井住友海上集團),,台北市大安區,"月薪30,000~50,000元",//www.104.com.tw/job/6879w?jobsource=n_my104_search
營運系統-Oracle ERP資訊工程師/高級工程師-台北,建新國際股份有限公司,,台北市中正區,"月薪30,000~70,000元",//www.104.com.tw/job/5quzz?jobsource=n_my104_search
