"職缺內容","公司名稱","地址","薪資","網址"
"助理工程師(兼職)","瑪莎生活科技股份有限公司","台北市中正區","時薪160元以上","//www.104.com.tw/job/7cuxd?jobsource=hotjob_chr"
"【採線上面談】Atlassian產品導入顧問","新加坡商鈦坦科技股份有限公司台灣分公司","台北市南港區","待遇面議","//www.104.com.tw/job/7dx1r?jobsource=hotjob_chr"
"資料工程師","犀牛盾_愛進化科技股份有限公司","台北市南港區","年薪800,000~1,500,000元","//www.104.com.tw/job/7bdlv?jobsource=n_my104_search"
"資料倉儲工程師(總公司資訊部)","旺旺友聯產物保險股份有限公司","台北市大安區","月薪33,000~45,000元","//www.104.com.tw/job/717pe?jobsource=n_my104_search"
"資料倉儲開發工程師","聯合通商電子商務股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/74xkx?jobsource=n_my104_search"
"資料工程師","精藤股份有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/765fv?jobsource=n_my104_search"
"ETL 資料工程師","一騰資訊服務股份有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/7dv5v?jobsource=n_my104_search"
"(內湖總公司) 資料倉儲系統管理專案副理","特力集團＿HOLA＿HOLA CASA＿HOLA Petite＿Crate&Barrel＿特力屋股份有限公司","台北市內湖區","待遇面議","//www.104.com.tw/job/72jvk?jobsource=n_my104_search"
"DW Project Manager 資料倉儲系統管理專案經理","美商和諧國際有限公司台灣分公司","台北市中山區","待遇面議","//www.104.com.tw/job/79opm?jobsource=n_my104_search"
"資料倉儲系統設計師","聯合通商電子商務股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/74xkt?jobsource=n_my104_search"
"Data Engineer 資料工程師","薩摩亞商奧創物聯有限公司台灣分公司","台北市內湖區","月薪50,000元以上","//www.104.com.tw/job/79ul3?jobsource=n_my104_search"
"資料倉儲工程師 Data Engineer -數據科技(數數發中心, DDT)","國泰金控_國泰金融控股股份有限公司","台北市信義區","月薪30,000~90,000元","//www.104.com.tw/job/7bmo1?jobsource=n_my104_search"
"【誠品】資料倉儲工程師","誠品股份有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/77y90?jobsource=n_my104_search"
"資料工程師 (BI分析)","雄獅資訊科技股份有限公司","台北市內湖區","月薪35,000~60,000元","//www.104.com.tw/job/3o2f1?jobsource=n_my104_search"
"資料倉儲&商業智慧工程師(總公司)","明台產物保險股份有限公司_資訊部(三井住友海上集團)","台北市大安區","待遇面議","//www.104.com.tw/job/6g494?jobsource=n_my104_search"
"資訊_資料倉儲工程師","中信金控_台灣人壽保險股份有限公司","台北市南港區","待遇面議","//www.104.com.tw/job/6fiv5?jobsource=n_my104_search"
"資料工程師","松凌科技股份有限公司","台北市中正區","月薪35,000~38,000元","//www.104.com.tw/job/79ccc?jobsource=n_my104_search"
"資料工程師 Data Engineer (Warehouse)","雨林新零售股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/76k5v?jobsource=n_my104_search"
"【資訊】資料工程師 Jr./Sr. Data Engineer (DW)","將來商業銀行股份有限公司","台北市大安區","待遇面議","//www.104.com.tw/job/6p7tn?jobsource=n_my104_search"
"資料工程師","台北富邦商業銀行股份有限公司","台北市內湖區","待遇面議","//www.104.com.tw/job/77jea?jobsource=n_my104_search"
"Data Engineer 資料工程師","核桃運算股份有限公司","台北市中正區","月薪38,000元以上","//www.104.com.tw/job/7dumf?jobsource=n_my104_search"
"【數據】資料科學工程師_ 數據管理","國泰世華商業銀行股份有限公司_人力資源部","台北市信義區","月薪30,000~80,000元","//www.104.com.tw/job/6rkkm?jobsource=n_my104_search"
"GIS資料工程師","九福科技顧問股份有限公司","台北市大同區","待遇面議","//www.104.com.tw/job/78nq1?jobsource=n_my104_search"
"資料倉儲開發工程師","聯合通商電子商務股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/74xkx?jobsource=n_my104_search"
"資料工程師(資料工程部)","國泰綜合證券股份有限公司","台北市大安區","待遇面議","//www.104.com.tw/job/6vb99?jobsource=n_my104_search"
"資料工程師","媚登峰健康事業股份有限公司","台北市大安區","待遇面議","//www.104.com.tw/job/7cr1u?jobsource=n_my104_search"
"Data Engineer 資料工程師 (Microsoft Azure Platform)","英屬維京群島商雲流數位股份有限公司台灣分公司","台北市信義區","待遇面議","//www.104.com.tw/job/7ctcc?jobsource=n_my104_search"
"資料工程師","博弘雲端科技股份有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/7ajle?jobsource=n_my104_search"
"資料ETL分析師","億力資訊股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/5ywx5?jobsource=n_my104_search"
"資料工程師 Data Engineer (Warehouse)","雨林新零售股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/76k5v?jobsource=n_my104_search"
"【大安】ETL 工程師","中華系統整合股份有限公司","台北市大安區","月薪35,000~45,000元","//www.104.com.tw/job/70m2p?jobsource=n_my104_search"
"資料探勘工程師","禾多移動多媒體股份有限公司","台北市中山區","年薪650,000~950,000元","//www.104.com.tw/job/4u9yz?jobsource=n_my104_search"
"【誠品】資料倉儲工程師","誠品股份有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/77y90?jobsource=n_my104_search"
"電商資料工程師(DS)","生活市集_創業家兄弟股份有限公司","台北市南港區","待遇面議","//www.104.com.tw/job/7e02n?jobsource=n_my104_search"
"ETL軟體工程師-台北(DF1)","物聯網股份有限公司","台北市大安區","待遇面議","//www.104.com.tw/job/6yg39?jobsource=n_my104_search"
"商業智慧及大數據工程師","天應資訊顧問有限公司","台北市大安區","月薪35,000~42,000元","//www.104.com.tw/job/38q85?jobsource=n_my104_search"
"資料工程師(具機器學習&爬蟲經驗佳)","域動行銷股份有限公司","台北市松山區","月薪40,000元以上","//www.104.com.tw/job/6shtp?jobsource=n_my104_search"
"資料工程師","圖靈數位股份有限公司","台北市中正區","待遇面議","//www.104.com.tw/job/5bgl0?jobsource=n_my104_search"
"SQL資料庫工程師(SL001)","祐安資訊有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/6709q?jobsource=n_my104_search"
"資料工程師","醫守科技股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/73510?jobsource=n_my104_search"
"AI/機器學習資料工程師 (Data Engineer)","杰倫智能科技股份有限公司","台北市信義區","月薪32,000~48,000元","//www.104.com.tw/job/79dy9?jobsource=n_my104_search"
"資料科學工程師","昊青股份有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/3yrz9?jobsource=n_my104_search"
"【高階獵才】數據中心主管_501YS","萬寶華企業管理顧問股份有限公司","台北市內湖區","年薪1,000,000~1,200,000元","//www.104.com.tw/job/6y08s?jobsource=n_my104_search"
"AI資料工程與大數據工程師 (台北)","孫紅有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/7dgk7?jobsource=n_my104_search"
"資料分析顧問","邑泰科技股份有限公司","台北市內湖區","月薪33,000~60,000元","//www.104.com.tw/job/3y0pq?jobsource=n_my104_search"
"MIS資訊管理專員","中裕國際物流有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/7bru2?jobsource=n_my104_search"
"SQL 資料庫工程師","欣創科技有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/6kgjf?jobsource=n_my104_search"
"商業智慧(BI)工程師","凌群電腦股份有限公司","台北市萬華區","月薪28,000~60,000元","//www.104.com.tw/job/6i060?jobsource=n_my104_search"
"數據工程師","達暉資訊有限公司","台北市信義區","月薪40,000~70,000元","//www.104.com.tw/job/79ujf?jobsource=n_my104_search"
"Data Engineer (web scraping) 【資料工程師（爬蟲）】","Arc & Codementor_皮爾愛迪亞有限公司","台北市中正區","年薪600,000~1,300,000元","//www.104.com.tw/job/7avg6?jobsource=n_my104_search"
"【誠品資訊處】↑ 邁向飛輪時代 ↑ 擴大徵才熱血招募中","誠品股份有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/7cn7d?jobsource=n_my104_search"
"SQL資料庫工程師","緯德科技股份有限公司 (TechLink Corporation)","台北市松山區","待遇面議","//www.104.com.tw/job/5e6v1?jobsource=n_my104_search"
"數據庫管理師(MYSQL DBA)","大極科技有限公司","台北市南港區","月薪40,000~100,000元","//www.104.com.tw/job/75w5a?jobsource=n_my104_search"
"JAVA培訓工程師(JA001T)","祐安資訊有限公司","台北市松山區","月薪30,000~38,000元","//www.104.com.tw/job/69y1o?jobsource=n_my104_search"
"研發工程師","逸志科技股份有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/67k63?jobsource=n_my104_search"
"資料工程師 / Junior Data Engineer (遠端WFH)","木刻思股份有限公司","台北市大同區","年薪500,000~700,000元","//www.104.com.tw/job/79w8b?jobsource=n_my104_search"
"數據工程師","麟數據科技股份有限公司","台北市大安區","待遇面議","//www.104.com.tw/job/4zlfa?jobsource=n_my104_search"
"資料倉儲工程師(總公司資訊部)","旺旺友聯產物保險股份有限公司","台北市大安區","月薪33,000~45,000元","//www.104.com.tw/job/717pe?jobsource=n_my104_search"
"Data Engineer 資料工程師 - Data Team","Garena_新加坡商競舞電競有限公司臺灣分公司","台北市信義區","待遇面議","//www.104.com.tw/job/7adps?jobsource=n_my104_search"
"ASP.Net MVC工程師","美台華德科技股份有限公司","台北市信義區","月薪30,000~50,000元","//www.104.com.tw/job/6kz3q?jobsource=n_my104_search"
"[研發中心] 數據工程師","真好玩娛樂科技股份有限公司","台北市內湖區","月薪35,000~45,000元","//www.104.com.tw/job/7dye3?jobsource=n_my104_search"
"Microsoft Power BI顧問/DB ETL Developer ","艾力特科技有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/6j4or?jobsource=n_my104_search"
"數據工程師","達暉資訊有限公司","台北市信義區","月薪40,000~70,000元","//www.104.com.tw/job/79ujf?jobsource=n_my104_search"
"Data Engineer (web scraping) 【資料工程師（爬蟲）】","Arc & Codementor_皮爾愛迪亞有限公司","台北市中正區","年薪600,000~1,300,000元","//www.104.com.tw/job/7avg6?jobsource=n_my104_search"
"資料工程師","醫守科技股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/73510?jobsource=n_my104_search"
"遠傳friDay購物 - Data Engineer 資料資深工程師","friDay購物_遠時數位科技股份有限公司","台北市內湖區","待遇面議","//www.104.com.tw/job/75won?jobsource=n_my104_search"
"Data Engineer","浪LIVE_旭瑞文化傳媒股份有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/6vufz?jobsource=n_my104_search"
"【資安】資料庫工程師","將來商業銀行股份有限公司","台北市大安區","待遇面議","//www.104.com.tw/job/7bhlu?jobsource=n_my104_search"
"系統開發部_數位系統開發專案經理","台新人壽保險股份有限公司_總公司","台北市松山區","待遇面議","//www.104.com.tw/job/7bsts?jobsource=n_my104_search"
"Oracle  資料庫工程師","傑西樓口智能科技股份有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/7bm7d?jobsource=n_my104_search"
"I202 Oracle資料庫軟體工程師(DBA)","台灣大哥大股份有限公司","台北市大安區","月薪31,000~53,000元","//www.104.com.tw/job/6xiif?jobsource=n_my104_search"
"【數據】資料科學工程師 (數數發中心,DDT)","國泰世華商業銀行股份有限公司_人力資源部","台北市信義區","待遇面議","//www.104.com.tw/job/6v7pz?jobsource=n_my104_search"
"資料分析顧問","邑泰科技股份有限公司","台北市內湖區","月薪33,000~60,000元","//www.104.com.tw/job/3y0pq?jobsource=n_my104_search"
"MIS資訊管理專員","中裕國際物流有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/7bru2?jobsource=n_my104_search"
"Data Engineer","Pinkoi_香港商果翼科技股份有限公司台灣分公司","台北市大同區","待遇面議","//www.104.com.tw/job/7dbxc?jobsource=n_my104_search"
"數據工程師（Pi拍錢包）","PChome Online_網路家庭國際資訊(股)公司","台北市大安區","待遇面議","//www.104.com.tw/job/7881h?jobsource=n_my104_search"
"資料探勘工程師(eHG)","美兆診所","台北市信義區","待遇面議","//www.104.com.tw/job/7aslu?jobsource=n_my104_search"
"SQL資料庫工程師","緯德科技股份有限公司 (TechLink Corporation)","台北市松山區","待遇面議","//www.104.com.tw/job/5e6v1?jobsource=n_my104_search"
"【台北】Data Engineer","英商引達取有限公司台灣分公司","台北市大同區","年薪600,000~1,200,000元","//www.104.com.tw/job/6pki0?jobsource=n_my104_search"
"SQL 資料庫工程師","欣創科技有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/6kgjf?jobsource=n_my104_search"
"數據工程師 (Data Engineer)","美而快實業股份有限公司","台北市南港區","月薪36,000~60,000元","//www.104.com.tw/job/6sqki?jobsource=n_my104_search"
"AI數據工程師.","永慶房產集團_永慶房屋仲介股份有限公司","台北市大安區","月薪35,000~60,000元","//www.104.com.tw/job/72rt2?jobsource=n_my104_search"
"MyGo-Python資深工程師/資料科學家","MyGo商學苑_平安房屋仲介股份有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/6yjxf?jobsource=n_my104_search"
"資料庫工程師","台灣富士軟片資訊股份有限公司","台北市松山區","待遇面議","//www.104.com.tw/job/77n95?jobsource=n_my104_search"
"數據工程師(NLP)","天脈科技股份有限公司","台北市中山區","待遇面議","//www.104.com.tw/job/71hnr?jobsource=n_my104_search"
"Internet程式工程師","奇禾互動行銷有限公司","台北市信義區","待遇面議","//www.104.com.tw/job/254pi?jobsource=n_my104_search"
"資料工程師(具機器學習&爬蟲經驗佳)","域動行銷股份有限公司","台北市松山區","月薪40,000元以上","//www.104.com.tw/job/6shtp?jobsource=n_my104_search"
