"職缺內容","公司名稱","工作內容","地址","薪資","網址"
"系統分析師(System Analyst)","海棠設計股份有限公司","我們希望可以找到一位擁有系統整合規劃落地經驗的系統分析師，除了重視技術驗證經驗，也需擅長溝通，期待你的加入。

工作內容：
1. 同PM確認客製化規格、釐清客戶需求，並進行系統分析作業
2. 與客戶端的IT人員溝通，釐清雙方系統整合上的開發細節
3. 同UX設計師確認Wireframe流程，評估系統開發可行性
4. 提供系統主流程邏輯分析、相關流程所需輸出、入資料欄位規則與驗證、具體分析資料來源
5. 資料庫之資料表設計
6. 第三方系統串接設計、評估
7. 撰寫系統分析文件
8. 撰寫API說明文件
9. 撰寫測試案例，安排測試人員進行逐步測試，確保成品符合規格
10.與工程人員說明系統規劃內容以確保落地實現與規劃相符
11.評估開發人力工時

必備條件：
1. 熟悉.NET Core系統，並且具備跨平台實作經驗
2. 熟悉MSSQL資料庫設計
3. 孰悉Windows Server作業系統相關設定
4. 熟悉Restful API架構
5. 具備系統分析文件之撰寫經驗
6. 具備資安相關基礎知識
7. 良好的溝通能力與團隊協作能力","台北市中山區","月薪50,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/6so54?jobsource=hotjob_chr"")"
"5I新光投信-資深應用程式設計師","新光金融控股股份有限公司(新光金控/新光人壽/新光銀行/新光投信)","主要工作項目
1.投信基金事務系統維運與需求開發
2.境外基金系統維運
3.主管交辦之專案管理及開發
4.小組職務代理
本公司使用博暉科技之系統，熟悉博暉系統架構者尤佳。
若熟悉投信基金會計系統、投資管理系統維運及開發，或對自己C#開發技術有自信、有投信工作經驗者也歡迎應徵！","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/72ky8?jobsource=hotjob_chr"")"
"【Ocard顧客經營管家】數據/資料工程師 Data Engineer (擴編招募中)","Ocard_奧理科技股份有限公司","整性、可靠性與效能。
● 資料處理與轉換：開發與管理 ETL（Extract, Transform, Load）流程，將資料從多種來源抽取、清洗並轉換成有用的訊息。
● 資料管道建設：設計並實作資料管道，確保資料能夠從來源順利傳送到分析平台。
●","台北市中山區","年薪580,000~845,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ervj?jobsource=n_my104_search"")"
"資料工程師","雅德思行銷顧問有限公司","與喜愛冒險的您一起加入我們雅德思行銷顧問公司!

我們重視每一位夥伴，再創新的過程中我們協助客戶成長也跟著客戶一起成長，我們重視團隊也強調個人的發展與想法，發揮創意也包容他人的想法，是雅德思行銷的文化與DNA。

資料工程師主要工作內容","台北市大安區","月薪48,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8ep3f?jobsource=n_my104_search"")"
"D4000Y 資料倉儲數據工程師","富邦媒體科技股份有限公司(富邦momo)","我們在尋找具有熱情、創新和技術專業的資料工程師加入我們數據團隊，如果你對數據技術充滿熱情，熱於挑戰和解決各種數據問題，歡迎加入我們。


工作內容:
1. 負責ETL流程開發與維運，確保資料準確性與完整性。
2. 參與資料倉儲的設計、開發、優化和","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8a7ae?jobsource=n_my104_search"")"
"資料工程師","廣晉軟體股份有限公司","
需求條件：
1.熟SQL，能獨立作業
2.具二年以上相關經驗

主要工作如下：
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ltg0?jobsource=n_my104_search"")"
"資料工程師 (Data Engineer)","替您錄科技股份有限公司(TGC Taiwan, Inc.)","我們正在尋找一位熱情且富有才華的資料工程師，加入我們的團隊，協助解決廣告投遞的資料內容。

我們希望你具備以下三大特質：
對資料工程領域有強烈興趣和熱情 。
重視團隊合作，具備良好的溝通能力 。
具有自我學習能力，能夠快速適應新技術。

職責：","台北市松山區","月薪58,000~80,000元","=HYPERLINK(""http:////www.104.com.tw/job/8ekil?jobsource=n_my104_search"")"
"行政管理部-資訊組-資料工程師(資深專員)","國家住宅及都市更新中心","一、負責資料庫及資料倉儲平台規劃、建置及維護，包括(但不限於)委外廠商評估、專案管理。
二、多來源資料攝取，資料存儲、統計及儀表板的委託開發與維護之專案管理。例(但不限於)：
(一)基於住宅數據、租戶行為、財務報表資料，分析數據及行為，產出管理報","台北市中山區","月薪67,000元以上","=HYPERLINK(""http:////www.104.com.tw/job/8cs1j?jobsource=n_my104_search"")"
"資料工程師","松凌科技股份有限公司","需要條件:
1.願意學習保險相關知識
2.對SQL有基本的能力


主要工作如下
1.各項資料盤點與蒐集，並分析其資料流程。
2.資料倉儲 ETL 流程規劃、設計
3.資料品質之監控與管理，及對應機制的建立
4.需求分析、溝通、解決方案建議與技術","台北市中正區","月薪35,000~38,000元","=HYPERLINK(""http:////www.104.com.tw/job/79ccc?jobsource=n_my104_search"")"
"資料倉儲與資料中台經理-- 台北","德昂資訊股份有限公司","接和轉換流程，尤其是從ERP、CRM和HR系統中處理數據。

執行（Do）
1.	監督資料倉儲和資料中台的建設和部署，確保按計劃進行。
2.	實施數據整合、轉換和加載過程（ETL），確保數據質量和實時性。
3.	領導團隊完成數據庫的維護和優化任務，","台北市松山區","年薪1,000,000~2,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8btam?jobsource=n_my104_search"")"
"資料倉儲工程師 Data Engineer-集團徵才-數據科技 (數數發中心, DDT)_I00016337","國泰金控_國泰金融控股股份有限公司","比起工作內容，你應該要先認識我們的團隊：
我們是一個正在成長的資料科學團隊，在找有熱情、想接受挑戰、能一起攜手成長前進的夥伴

我們需要這樣的人：
1. 對資料工程領域有興趣 - 想朝這個方向發展，探索資料科學專業
2. 重視團隊合作 - 在團隊","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/88n29?jobsource=n_my104_search"")"
"資料工程師 (BI)","聯合通商電子商務股份有限公司","(本職務主要為技術工作而非單純的數據分析)
1.  商業智慧(BI)專案需求訪談、系統分析並製作系統需求規格書文件
2.  撰寫整合測試計畫書、測試案例、準備測試資料及測試
3.  Metadata 中介層設計、Dashboard、Report設","台北市中山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/37tef?jobsource=n_my104_search"")"
